id	cited reference	citations	total link strength
33323	"liu x, 2011, neurosci biobehav r, v35, p1219, doi 10.1016/j.neubiorev.2010.12.012"	11	208
33378	"ljungberg t, 1992, j neurophysiol, v67, p145"	14	353
33550	"logan gd, 1988, psychol rev, v95, p492, doi 10.1037/0033-295x.95.4.492"	10	31
33601	"lohrenz t, 2007, p natl acad sci usa, v104, p9493, doi 10.1073/pnas.0608842104"	10	248
33695	"lopez-calderon j, 2014, front hum neurosci, v8, doi 10.3389/fnhum.2014.00213"	10	151
33969	"luck sj, 2005, intro event related"	16	341
33975	"luck sj, 2014, introduction to the event-related potential technique, 2nd edition, p1"	13	262
34165	"luu p, 2003, psychol sci, v14, p47, doi 10.1111/1467-9280.01417"	18	432
34461	"mackintosh nj, 1975, psychol rev, v82, p276, doi 10.1037/h0076778"	52	715
34696	"maia tv, 2011, nat neurosci, v14, p154, doi 10.1038/nn.2723"	14	324
35053	"marco-pallares j, 2008, neuropsychologia, v46, p241, doi 10.1016/j.neuropsychologia.2007.07.016"	12	306
35098	"maren s, 2004, nat rev neurosci, v5, p844, doi 10.1038/nrn1535"	10	104
35451	"martin rs, 2012, front hum neurosci, v6, doi 10.3389/fnhum.2012.00304"	12	308
35688	"mathys c, 2011, front hum neurosci, v5, doi 10.3389/fnhum.2011.00039"	21	336
35691	"mathys cd, 2014, front hum neurosci, v8, doi 10.3389/fnhum.2014.00825"	10	139
35706	"matsumoto k, 2003, science, v301, p229, doi 10.1126/science.1084204"	10	243
35710	"matsumoto m, 2007, nat neurosci, v10, p647, doi 10.1038/nn1890"	22	577
35711	"matsumoto m, 2007, nature, v447, p1111, doi 10.1038/nature05860"	16	407
35712	"matsumoto m, 2009, nat neurosci, v12, p77, doi 10.1038/nn.2233"	11	211
35713	"matsumoto m, 2009, nature, v459, p837, doi 10.1038/nature08028"	27	652
35949	"mazzoni p, 2006, j neurosci, v26, p3642, doi 10.1523/jneurosci.5317-05.2006"	11	38
36087	"mcclelland, 1986, parallel distributed, v1"	10	137
36100	"mcclure sm, 2003, neuron, v38, p339, doi 10.1016/s0896-6273(03)00154-5"	45	955
36570	"mcnally gp, 2011, trends neurosci, v34, p283, doi 10.1016/j.tins.2011.03.005"	13	151
37082	"metereau e, 2013, cereb cortex, v23, p477, doi 10.1093/cercor/bhs037"	14	379
37191	"miall rc, 1996, neural networks, v9, p1265, doi 10.1016/s0893-6080(96)00035-4"	13	116
37317	"milad mr, 2007, biol psychiat, v62, p446, doi 10.1016/j.biopsych.2006.10.011"	11	93
37389	"miller ek, 2001, annu rev neurosci, v24, p167, doi 10.1146/annurev.neuro.24.1.167"	26	380
37478	"miller rr, 1995, psychol bull, v117, p363, doi 10.1037/0033-2909.117.3.363"	11	193
37508	"millett r., 1988, proceedings of the 1988 dclass conference, p51, doi 10.1016/s0079-7421(08)60038-9"	13	250
37554	"miltner whr, 1997, j cognitive neurosci, v9, p788, doi 10.1162/jocn.1997.9.6.788"	79	1688
37647	"mirenowicz j, 1996, nature, v379, p449, doi 10.1038/379449a0"	12	383
38006	"monfils mh, 2009, science, v324, p951, doi 10.1126/science.1167975"	13	158
38040	"montague pr, 1996, j neurosci, v16, p1936, doi 10.1523/jneurosci.16-05-01936.1996"	59	1163
38044	"montague pr, 2004, nature, v431, p760, doi 10.1038/nature03015"	21	457
38050	"montague pr, 2012, trends cogn sci, v16, p72, doi 10.1016/j.tics.2011.11.018"	12	247
38380	"morris g, 2006, nat neurosci, v9, p1057, doi 10.1038/nn1743"	13	370
38727	"muller sv, 2005, clin neurophysiol, v116, p63, doi 10.1016/j.clinph.2004.07.009"	11	300
38757	"mumford d, 1992, biol cybern, v66, p241, doi 10.1007/bf00198477"	22	316
38911	"murray gk, 2008, mol psychiatr, v13, p267, doi 10.1038/sj.mp.4002058"	15	267
39013	"muthen l. k., 1998, mplus users guide"	10	12
39101	"naatanen r, 1978, acta psychol, v42, p313, doi 10.1016/0001-6918(78)90006-9"	15	164
39109	"naatanen r, 1987, psychophysiology, v24, p375, doi 10.1111/j.1469-8986.1987.tb00311.x"	12	111
39119	"naatanen r, 1999, psychol bull, v125, p826, doi 10.1037/0033-2909.125.6.826"	13	118
39125	"naatanen r, 2005, psychophysiology, v42, p25, doi 10.1111/j.1469-8986.2005.00256.x"	11	126
39126	"naatanen r, 2007, clin neurophysiol, v118, p2544, doi 10.1016/j.clinph.2007.04.026"	16	174
39139	"naatanen r., 1992, attention brain func"	10	66
39175	"nader k, 2000, nature, v406, p722, doi 10.1038/35021052"	28	376
39384	"nassar mr, 2010, j neurosci, v30, p12366, doi 10.1523/jneurosci.0822-10.2010"	11	188
39385	"nassar mr, 2012, nat neurosci, v15, p1040, doi 10.1038/nn.3130"	16	226
39971	"nieuwenhuis s, 2001, psychophysiology, v38, p752, doi 10.1017/s0048577201001111"	13	195
39972	"nieuwenhuis s, 2002, cogn affect behav ne, v2, p19, doi 10.3758/cabn.2.1.19"	16	421
39975	"nieuwenhuis s, 2004, cereb cortex, v14, p741, doi 10.1093/cercor/bhh034"	21	542
39976	"nieuwenhuis s, 2004, neurosci biobehav r, v28, p441, doi 10.1016/j.neubiorev.2004.05.003"	30	686
39978	"nieuwenhuis s, 2005, eur j neurosci, v21, p3161, doi 10.1111/j.1460-9568.2005.04152.x"	17	469
39979	"nieuwenhuis s, 2005, neuroimage, v25, p1302, doi 10.1016/j.neuroimage.2004.12.043"	12	277
39981	"nieuwenhuis s, 2005, psychol bull, v131, p510, doi 10.1037/0033-2909.131.4.510"	21	462
40025	"niki h, 1979, brain res, v171, p213, doi 10.1016/0006-8993(79)90328-7"	12	337
40078	"nissen mj, 1987, cognitive psychol, v19, p1, doi 10.1016/0010-0285(87)90002-8"	10	54
40098	"niv y, 2007, psychopharmacology, v191, p507, doi 10.1007/s00213-006-0502-4"	20	441
40100	"niv y, 2008, trends cogn sci, v12, p265, doi 10.1016/j.tics.2008.03.006"	22	505
40101	"niv y, 2009, j math psychol, v53, p139, doi 10.1016/j.jmp.2008.12.005"	18	463
40104	"niv y, 2012, j neurosci, v32, p551, doi 10.1523/jneurosci.5498-10.2012"	23	439
40316	"nosofsky rm, 1986, j exp psychol gen, v115, p39, doi 10.1037/0096-3445.115.1.39"	10	90
40482	"o'doherty j, 2001, nat neurosci, v4, p95"	14	297
40483	"o'doherty j, 2003, j neurosci, v23, p7931"	10	268
40485	"o'doherty j, 2004, science, v304, p452, doi 10.1126/science.1094285"	58	1209
40487	"o'doherty jp, 2002, neuron, v33, p815, doi 10.1016/s0896-6273(02)00603-7"	10	274
40488	"o'doherty jp, 2003, neuron, v38, p329, doi 10.1016/s0896-6273(03)00169-7"	61	1260
40489	"o'doherty jp, 2004, curr opin neurobiol, v14, p769, doi 10.1016/j.conb.2004.10.016"	19	367
40491	"o'doherty jp, 2007, ann ny acad sci, v1104, p35, doi 10.1196/annals.1390.022"	17	313
40523	"o'reilly jx, 2013, p natl acad sci usa, v110, pe3660, doi 10.1073/pnas.1305373110"	13	159
40533	"o'reilly rc, 2006, neural comput, v18, p283, doi 10.1162/089976606775093909"	12	270
40849	"oldfield rc, 1971, neuropsychologia, v9, p97, doi 10.1016/0028-3932(71)90067-4"	34	295
40875	"oliveira ftp, 2007, j cognitive neurosci, v19, p1994, doi 10.1162/jocn.2007.19.12.1994"	37	886
41003	"onishi kh, 2005, science, v308, p255, doi 10.1126/science.1107621"	10	23
41412	"packard mg, 2002, annu rev neurosci, v25, p563, doi 10.1146/annurev.neuro.25.112701.142937"	10	239
41436	"padoa-schioppa c, 2006, nature, v441, p223, doi 10.1038/nature04676"	10	212
41462	"pagnoni g, 2002, nat neurosci, v5, p97, doi 10.1038/nn802"	15	409
42159	"pavlov i. p., 1927, conditioned reflexes"	34	545
42237	"pearce j.m., 2010, attention ass learni, p11"	13	159
42240	"pearce jm, 1980, psychol rev, v87, p532, doi 10.1037/0033-295x.87.6.532"	87	1315
42243	"pearce jm, 1987, psychol rev, v94, p61, doi 10.1037/0033-295x.94.1.61"	13	166
42251	"pearce jm, 1994, psychol rev, v101, p587, doi 10.1037/0033-295x.101.4.587"	10	135
42335	"pedreira me, 2004, learn memory, v11, p579, doi 10.1101/lm.76904"	14	201
42371	"peirce jw, 2007, j neurosci meth, v162, p8, doi 10.1016/j.jneumeth.2006.11.017"	10	63
42418	"pelli dg, 1997, spatial vision, v10, p437, doi 10.1163/156856897x00366"	16	126
42422	"pellicano e, 2012, trends cogn sci, v16, p504, doi 10.1016/j.tics.2012.08.009"	11	150
42749	"pessiglione m, 2006, nature, v442, p1042, doi 10.1038/nature05051"	48	899
42977	"pfabigan dm, 2011, psychophysiology, v48, p656, doi 10.1111/j.1469-8986.2010.01136.x"	13	385
43054	"philiastides mg, 2010, neuroimage, v53, p221, doi 10.1016/j.neuroimage.2010.05.052"	12	316
43468	"platt ml, 1999, nature, v400, p233, doi 10.1038/22268"	11	264
43562	"poldrack ra, 2001, nature, v414, p546, doi 10.1038/35107080"	13	261
43589	"polich j, 2007, clin neurophysiol, v118, p2128, doi 10.1016/j.clinph.2007.04.019"	31	468
43762	"posner mi, 1980, q j exp psychol, v32, p3, doi 10.1080/00335558008248231"	15	199
43820	"potts gf, 2006, j cognitive neurosci, v18, p1112, doi 10.1162/jocn.2006.18.7.1112"	24	659
44009	"preuschoff k, 2006, neuron, v51, p381, doi 10.1016/j.neuron.2006.06.024"	10	183
44011	"preuschoff k, 2008, j neurosci, v28, p2745, doi 10.1523/jneurosci.4286-07.2008"	15	192
44012	"preuschoff k, 2011, front neurosci-switz, v5, doi 10.3389/fnins.2011.00115"	10	103
44147	"proudfit gh, 2015, psychophysiology, v52, p449, doi 10.1111/psyp.12370"	26	547
44160	"proulx t, 2012, trends cogn sci, v16, p285, doi 10.1016/j.tics.2012.04.002"	15	235
44526	"radloff l s, 1977, applied psychological measurement, v1, p385, doi 10.1177/014662167700100306"	18	34
44749	"rangel a, 2008, nat rev neurosci, v9, p545, doi 10.1038/nrn2357"	17	327
44770	"rao rpn, 1999, nat neurosci, v2, p79, doi 10.1038/4580"	59	850
44930	"rayburn-reeves rm, 2011, learn behav, v39, p125, doi 10.3758/s13420-010-0011-5"	11	12
45080	"redgrave p, 1999, trends neurosci, v22, p146, doi 10.1016/s0166-2236(98)01373-3"	11	246
45081	"redgrave p, 2006, nat rev neurosci, v7, p967, doi 10.1038/nrn2022"	11	263
45143	"reeves rmr, 2013, j comp psychol, v127, p202, doi 10.1037/a0026311"	10	16
45375	"rescorla r. a., 1972, classical condition, p64, doi 10.1101/gr.110528.110"	157	2180
45389	"rescorla ra, 1970, learn motiv, v1, p372, doi 10.1016/0023-9690(70)90101-3"	11	204
45426	"rescorla ra, 2000, j exp psychol anim b, v26, p428, doi 10.1037//0097-7403.26.4.428"	10	143
45743	"ridderinkhof kr, 2004, science, v306, p443, doi 10.1126/science.1100301"	27	520
45785	"rief w, 2015, curr opin psychiatr, v28, p378, doi 10.1097/yco.0000000000000184"	12	61
45984	"rizzolatti g, 2004, annu rev neurosci, v27, p169, doi 10.1146/annurev.neuro.27.070203.144230"	10	92
46245	"rodriguez pf, 2006, hum brain mapp, v27, p306, doi 10.1002/hbm.20186"	14	288
46327	"roesch mr, 2007, nat neurosci, v10, p1615, doi 10.1038/nn2013"	19	467
46332	"roesch mr, 2012, eur j neurosci, v35, p1190, doi 10.1111/j.1460-9568.2011.07986.x"	18	387
46546	"rolls et, 2008, cereb cortex, v18, p652, doi 10.1093/cercor/bhm097"	11	222
46785	"rosenberg m., 1965, soc adolescent self"	13	29
47213	"ruble dn, 1988, j pers soc psychol, v55, p78, doi 10.1037/0022-3514.55.1.78"	21	79
47237	"ruchsow m, 2002, neurosci lett, v325, p203, doi 10.1016/s0304-3940(02)00288-4"	12	350
47445	"rushworth mfs, 2004, trends cogn sci, v8, p410, doi 10.1016/j.tics.2004.07.009"	12	322
47449	"rushworth mfs, 2008, nat neurosci, v11, p389, doi 10.1038/nn2066"	21	406
47451	"rushworth mfs, 2011, neuron, v70, p1054, doi 10.1016/j.neuron.2011.05.014"	10	181
47536	"rutledge rb, 2009, j neurosci, v29, p15104, doi 10.1523/jneurosci.3524-09.2009"	10	182
47537	"rutledge rb, 2010, j neurosci, v30, p13525, doi 10.1523/jneurosci.1747-10.2010"	16	323
47692	"saffran jr, 1996, science, v274, p1926, doi 10.1126/science.274.5294.1926"	18	132
47939	"sambrook td, 2015, psychol bull, v141, p213, doi 10.1037/bul0000006"	32	671
47940	"sambrook td, 2016, neuroimage, v124, p276, doi 10.1016/j.neuroimage.2015.07.032"	12	270
47945	"samejima k, 2005, science, v310, p1337, doi 10.1126/science.1115270"	18	453
48065	"sanfey ag, 2003, science, v300, p1755, doi 10.1126/science.1082976"	10	176
48226	"sato a, 2005, neuroreport, v16, p407, doi 10.1097/00001756-200503150-00020"	13	414
48626	"schiller d, 2010, nature, v463, p49, doi 10.1038/nature08637"	13	172
48791	"schmidt ra, 1992, psychol sci, v3, p207, doi 10.1111/j.1467-9280.1992.tb00029.x"	11	47
48992	"schonberg t, 2007, j neurosci, v27, p12860, doi 10.1523/jneurosci.2496-07.2007"	19	474
49190	"schultz w, 1997, curr opin neurobiol, v7, p191, doi 10.1016/s0959-4388(97)80007-4"	13	271
49191	"schultz w, 1997, science, v275, p1593, doi 10.1126/science.275.5306.1593"	169	3048
49193	"schultz w, 1998, j neurophysiol, v80, p1, doi 10.1152/jn.1998.80.1.1"	56	1096
49197	"schultz w, 2000, annu rev neurosci, v23, p473, doi 10.1146/annurev.neuro.23.1.473"	66	1143
49199	"schultz w, 2000, nat rev neurosci, v1, p199, doi 10.1038/35044563"	11	253
49201	"schultz w, 2002, neuron, v36, p241, doi 10.1016/s0896-6273(02)00967-4"	35	856
49204	"schultz w, 2006, annu rev psychol, v57, p87, doi 10.1146/annurev.psych.56.091103.070229"	21	358
49209	"schultz w, 2010, behav brain funct, v6, doi 10.1186/1744-9081-6-24"	13	230
49210	"schultz w, 2013, curr opin neurobiol, v23, p229, doi 10.1016/j.conb.2012.11.012"	15	222
49215	"schultz w, 2016, nat rev neurosci, v17, p183, doi 10.1038/nrn.2015.26"	18	431
49372	"schwarz g, 1978, ann stat, v6, p461, doi 10.1214/aos/1176344136"	17	245
49743	"semlitsch hv, 1986, psychophysiology, v23, p695, doi 10.1111/j.1469-8986.1986.tb00696.x"	12	110
49851	"seth ak, 2013, trends cogn sci, v17, p565, doi 10.1016/j.tics.2013.09.007"	10	166
49866	"sevenster d, 2013, science, v339, p830, doi 10.1126/science.1231357"	20	265
49870	"sevenster d, 2014, learn memory, v21, p580, doi 10.1101/lm.035493.114"	12	154
49888	"seymour b, 2004, nature, v429, p664, doi 10.1038/nature02581"	19	432
49890	"seymour b, 2007, j neurosci, v27, p4826, doi 10.1523/jneurosci.0400-07.2007"	19	372
49907	"shackman aj, 2011, nat rev neurosci, v12, p154, doi 10.1038/nrn2994"	13	236
49924	"shadmehr r, 2010, annu rev neurosci, v33, p89, doi 10.1146/annurev-neuro-060909-153135"	13	74
50210	"shenhav a, 2013, neuron, v79, p217, doi 10.1016/j.neuron.2013.07.007"	18	323
50505	"shohamy d, 2010, trends cogn sci, v14, p464, doi 10.1016/j.tics.2010.08.002"	11	191
51565	"snodgrass jg, 1988, j exp psychol gen, v117, p34, doi 10.1037/0096-3445.117.1.34"	10	63
51939	"spanier gb, 1976, j marriage fam, v38, p15, doi 10.2307/350547"	11	35
52028	"spelke es, 1992, psychol rev, v99, p605, doi 10.1037/0033-295x.99.4.605"	10	59
52418	"stahl ae, 2015, science, v348, p91, doi 10.1126/science.aaa3799"	11	85
52476	"stangor c, 1992, psychol bull, v111, p42, doi 10.1037/0033-2909.111.1.42"	15	29
52691	"steinberg ee, 2013, nat neurosci, v16, p966, doi 10.1038/nn.3413"	23	375
52782	"stephan ke, 2009, neuroimage, v46, p1004, doi 10.1016/j.neuroimage.2009.03.025"	19	272
53459	"summerfield c, 2008, nat neurosci, v11, p1004, doi 10.1038/nn.2163"	19	254
53460	"summerfield c, 2008, neuron, v59, p336, doi 10.1016/j.neuron.2008.05.021"	10	227
53461	"summerfield c, 2009, trends cogn sci, v13, p403, doi 10.1016/j.tics.2009.06.003"	12	252
53526	"suri re, 1999, neuroscience, v91, p871, doi 10.1016/s0306-4522(98)00697-6"	10	202
53588	"sutton r. s., 1988, machine learning, v3, p9, doi 10.1007/bf00115009"	21	497
53597	"sutton r., 1998, reinforcement learni"	106	1947
53599	"sutton r.s., 1998, reinforcement learni, v1"	10	223
53602	"sutton rs, 1981, psychol rev, v88, p135, doi 10.1037/0033-295x.88.2.135"	24	458
53605	"sutton rs, 1990, learning computation, p497"	15	400
53623	"suzuki a, 2004, j neurosci, v24, p4787, doi 10.1523/jneurosci.5491-03.2004"	15	205
53937	"talairach j. t., 1988, coplanar stereotaxic"	11	146
53964	"talmi d, 2012, neuroimage, v59, p635, doi 10.1016/j.neuroimage.2011.06.051"	10	299
53966	"talmi d, 2013, j neurosci, v33, p8264, doi 10.1523/jneurosci.5695-12.2013"	19	500
54020	"tanaka sc, 2004, nat neurosci, v7, p887, doi 10.1038/nn1279"	10	237
54680	"thorndike el, 1911, animal intelligence"	11	252
54862	"tobler pn, 2003, j neurosci, v23, p10402"	15	364
54863	"tobler pn, 2005, science, v307, p1642, doi 10.1126/science.1105370"	31	698
54864	"tobler pn, 2006, j neurophysiol, v95, p301"	12	293
54919	"todorovic a, 2011, j neurosci, v31, p9118, doi 10.1523/jneurosci.1425-11.2011"	11	246
54920	"todorovic a, 2012, j neurosci, v32, p13389, doi 10.1523/jneurosci.2227-12.2012"	11	191
54960	"tolman ec, 1948, psychol rev, v55, p189, doi 10.1037/h0061626"	11	186
54961	"tom sm, 2007, science, v315, p515, doi 10.1126/science.1134239"	10	221
55298	"tremblay l, 1999, nature, v398, p704"	11	222
55359	"tricomi em, 2004, neuron, v41, p281, doi 10.1016/s0896-6273(03)00848-1"	16	381
55485	"tseng yw, 2007, j neurophysiol, v98, p54, doi 10.1152/jn.00266.2007"	14	72
55641	"turner dc, 2004, cereb cortex, v14, p872, doi 10.1093/cercor/bhh046"	10	170
55677	"tversky a, 1974, science, v185, p1124, doi 10.1126/science.185.4157.1124"	15	47
55688	"tversky a, 1992, j risk uncertainty, v5, p297, doi 10.1007/bf00122574"	14	204
55828	"ulanovsky n, 2003, nat neurosci, v6, p391, doi 10.1038/nn1032"	11	175
55848	"ullsperger m, 2003, j neurosci, v23, p4308, doi 10.1523/jneurosci.23-10-04308.2003"	10	245
55855	"ullsperger m, 2014, physiol rev, v94, p35, doi 10.1152/physrev.00041.2012"	10	222
55856	"ullsperger m, 2014, trends cogn sci, v18, p259, doi 10.1016/j.tics.2014.02.009"	17	353
55872	"umbricht d, 2005, schizophr res, v76, p1, doi 10.1016/j.schres.2004.12.002"	12	171
56191	"van de vijver i, 2011, j cognitive neurosci, v23, p4106, doi 10.1162/jocn_a_00110"	10	233
56231	"van den bos w, 2012, cereb cortex, v22, p1247, doi 10.1093/cercor/bhr198"	14	192
56517	"van schie ht, 2004, nat neurosci, v7, p549, doi 10.1038/nn1239"	11	241
57438	"wacongne c, 2011, p natl acad sci usa, v108, p20754, doi 10.1073/pnas.1117807108"	18	307
57439	"wacongne c, 2012, j neurosci, v32, p3665, doi 10.1523/jneurosci.5003-11.2012"	17	307
57461	"waelti p, 2001, nature, v412, p43, doi 10.1038/35083500"	43	832
57512	"wagner a.r., 1981, p5"	18	221
57746	"walsh mm, 2011, p natl acad sci usa, v108, p19048, doi 10.1073/pnas.1117189108"	14	475
57747	"walsh mm, 2012, neurosci biobehav r, v36, p1870, doi 10.1016/j.neubiorev.2012.05.008"	48	1103
57809	"waltz ja, 2007, biol psychiat, v62, p756, doi 10.1016/j.biopsych.2006.09.042"	10	171
58151	"watkins cjch, 1992, mach learn, v8, p279, doi 10.1007/bf00992698"	12	195
58180	"watson d, 1988, j pers soc psychol, v54, p1063, doi 10.1037/0022-3514.54.6.1063"	23	111
59409	"wills aj, 2007, j cognitive neurosci, v19, p843, doi 10.1162/jocn.2007.19.5.843"	11	122
59591	"winkler i, 1996, brain res, v742, p239, doi 10.1016/s0006-8993(96)01008-6"	11	138
59604	"winkler i, 2007, j psychophysiol, v21, p147, doi 10.1027/0269-8803.21.34.147"	16	172
59682	"wise ra, 2004, nat rev neurosci, v5, p483, doi 10.1038/nrn1406"	10	248
59740	"wittmann bc, 2005, neuron, v45, p459, doi 10.1016/j.neuron.2005.01.010"	18	403
59848	"wolpert dm, 1995, science, v269, p1880, doi 10.1126/science.7569931"	18	101
59851	"wolpert dm, 1998, neural networks, v11, p1317, doi 10.1016/s0893-6080(98)00066-5"	10	64
59854	"wolpert dm, 2001, curr biol, v11, pr729, doi 10.1016/s0960-9822(01)00432-8"	11	83
60165	"wu y, 2009, brain res, v1286, p114, doi 10.1016/j.brainres.2009.06.032"	22	553
60242	"wynn k, 1992, nature, v358, p749, doi 10.1038/358749a0"	13	31
60339	"yacubian j, 2006, j neurosci, v26, p9530, doi 10.1523/jneurosci.2915-06.2006"	10	220
60491	"yasuda a, 2004, neuroreport, v15, p2561, doi 10.1097/00001756-200411150-00027"	16	396
60580	"yeung n, 2004, j neurosci, v24, p6258, doi 10.1523/jneurosci.4537-03.2004"	41	978
60581	"yeung n, 2004, psychol rev, v111, p931, doi [10.1037/0033-295x.111.4.931 10.1037/0033-295x.111.4.931]"	26	594
60583	"yeung n, 2005, cereb cortex, v15, p535, doi 10.1093/cercor/bhh153"	38	894
60604	"yin hh, 2004, eur j neurosci, v19, p181, doi 10.1111/j.1460-9568.2004.03095.x"	10	340
60768	"yu aj, 2005, neuron, v46, p681, doi 10.1016/j.neuron.2005.04.026"	31	631
60781	"yu rj, 2006, neuroreport, v17, p1747, doi 10.1097/01.wnr.0000239960.98813.50"	13	301
61216	"zhou zh, 2010, neuropsychologia, v48, p3606, doi 10.1016/j.neuropsychologia.2010.08.010"	10	261
