label	replace by
lopez-calderon j, 2014, front hum neurosci, v8, doi 10.3389/fnhum.2014.00213	lopez-calderon (2014)
luck sj, 2005, intro event related	luck (2005)
luck sj, 2014, introduction to the event-related potential technique, 2nd edition, p1	luck (2014)
luu p, 2003, psychol sci, v14, p47, doi 10.1111/1467-9280.01417	luu (2003)
mackintosh nj, 1975, psychol rev, v82, p276, doi 10.1037/h0076778	mackintosh (1975)
maia tv, 2011, nat neurosci, v14, p154, doi 10.1038/nn.2723	maia (2011)
marco-pallares j, 2008, neuropsychologia, v46, p241, doi 10.1016/j.neuropsychologia.2007.07.016	marco-pallares (2008)
maren s, 2004, nat rev neurosci, v5, p844, doi 10.1038/nrn1535	maren (2004)
martin rs, 2012, front hum neurosci, v6, doi 10.3389/fnhum.2012.00304	martin (2012)
mathys c, 2011, front hum neurosci, v5, doi 10.3389/fnhum.2011.00039	mathys (2011)
mathys cd, 2014, front hum neurosci, v8, doi 10.3389/fnhum.2014.00825	mathys (2014)
matsumoto k, 2003, science, v301, p229, doi 10.1126/science.1084204	matsumoto (2003)
matsumoto m, 2007, nat neurosci, v10, p647, doi 10.1038/nn1890	matsumoto (2007a)
matsumoto m, 2007, nature, v447, p1111, doi 10.1038/nature05860	matsumoto (2007b)
matsumoto m, 2009, nat neurosci, v12, p77, doi 10.1038/nn.2233	matsumoto (2009a)
matsumoto m, 2009, nature, v459, p837, doi 10.1038/nature08028	matsumoto (2009b)
mazzoni p, 2006, j neurosci, v26, p3642, doi 10.1523/jneurosci.5317-05.2006	mazzoni (2006)
mcclelland, 1986, parallel distributed, v1	mcclelland (1986)
mcclure sm, 2003, neuron, v38, p339, doi 10.1016/s0896-6273(03)00154-5	mcclure (2003)
mcnally gp, 2011, trends neurosci, v34, p283, doi 10.1016/j.tins.2011.03.005	mcnally (2011)
metereau e, 2013, cereb cortex, v23, p477, doi 10.1093/cercor/bhs037	metereau (2013)
miall rc, 1996, neural networks, v9, p1265, doi 10.1016/s0893-6080(96)00035-4	miall (1996)
milad mr, 2007, biol psychiat, v62, p446, doi 10.1016/j.biopsych.2006.10.011	milad (2007)
miller ek, 2001, annu rev neurosci, v24, p167, doi 10.1146/annurev.neuro.24.1.167	miller (2001)
miller rr, 1995, psychol bull, v117, p363, doi 10.1037/0033-2909.117.3.363	miller (1995)
millett r., 1988, proceedings of the 1988 dclass conference, p51, doi 10.1016/s0079-7421(08)60038-9	millett (1988)
miltner whr, 1997, j cognitive neurosci, v9, p788, doi 10.1162/jocn.1997.9.6.788	miltner (1997)
mirenowicz j, 1996, nature, v379, p449, doi 10.1038/379449a0	mirenowicz (1996)
monfils mh, 2009, science, v324, p951, doi 10.1126/science.1167975	monfils (2009)
montague pr, 1996, j neurosci, v16, p1936, doi 10.1523/jneurosci.16-05-01936.1996	montague (1996)
montague pr, 2004, nature, v431, p760, doi 10.1038/nature03015	montague (2004)
montague pr, 2012, trends cogn sci, v16, p72, doi 10.1016/j.tics.2011.11.018	montague (2012)
morris g, 2006, nat neurosci, v9, p1057, doi 10.1038/nn1743	morris (2006)
muller sv, 2005, clin neurophysiol, v116, p63, doi 10.1016/j.clinph.2004.07.009	muller (2005)
mumford d, 1992, biol cybern, v66, p241, doi 10.1007/bf00198477	mumford (1992)
murray gk, 2008, mol psychiatr, v13, p267, doi 10.1038/sj.mp.4002058	murray (2008)
muthen l. k., 1998, mplus users guide	muthen (1998)
naatanen r, 1978, acta psychol, v42, p313, doi 10.1016/0001-6918(78)90006-9	naatanen (1978)
naatanen r, 1987, psychophysiology, v24, p375, doi 10.1111/j.1469-8986.1987.tb00311.x	naatanen (1987)
naatanen r, 1999, psychol bull, v125, p826, doi 10.1037/0033-2909.125.6.826	naatanen (1999)
naatanen r, 2005, psychophysiology, v42, p25, doi 10.1111/j.1469-8986.2005.00256.x	naatanen (2005)
naatanen r, 2007, clin neurophysiol, v118, p2544, doi 10.1016/j.clinph.2007.04.026	naatanen (2007)
naatanen r., 1992, attention brain func	naatanen (1992)
nader k, 2000, nature, v406, p722, doi 10.1038/35021052	nader (2000)
nassar mr, 2010, j neurosci, v30, p12366, doi 10.1523/jneurosci.0822-10.2010	nassar (2010)
nassar mr, 2012, nat neurosci, v15, p1040, doi 10.1038/nn.3130	nassar (2012)
nieuwenhuis s, 2001, psychophysiology, v38, p752, doi 10.1017/s0048577201001111	nieuwenhuis (2001)
nieuwenhuis s, 2002, cogn affect behav ne, v2, p19, doi 10.3758/cabn.2.1.19	nieuwenhuis (2002)
nieuwenhuis s, 2004, cereb cortex, v14, p741, doi 10.1093/cercor/bhh034	nieuwenhuis (2004a)
nieuwenhuis s, 2004, neurosci biobehav r, v28, p441, doi 10.1016/j.neubiorev.2004.05.003	nieuwenhuis (2004b)
nieuwenhuis s, 2005, eur j neurosci, v21, p3161, doi 10.1111/j.1460-9568.2005.04152.x	nieuwenhuis (2005b)
nieuwenhuis s, 2005, neuroimage, v25, p1302, doi 10.1016/j.neuroimage.2004.12.043	nieuwenhuis (2005a)
nieuwenhuis s, 2005, psychol bull, v131, p510, doi 10.1037/0033-2909.131.4.510	nieuwenhuis (2005c)
niki h, 1979, brain res, v171, p213, doi 10.1016/0006-8993(79)90328-7	niki (1979)
nissen mj, 1987, cognitive psychol, v19, p1, doi 10.1016/0010-0285(87)90002-8	nissen (1987)
niv y, 2007, psychopharmacology, v191, p507, doi 10.1007/s00213-006-0502-4	niv (2007)
niv y, 2008, trends cogn sci, v12, p265, doi 10.1016/j.tics.2008.03.006	niv (2008)
niv y, 2009, j math psychol, v53, p139, doi 10.1016/j.jmp.2008.12.005	niv (2009)
niv y, 2012, j neurosci, v32, p551, doi 10.1523/jneurosci.5498-10.2012	niv (2012)
nosofsky rm, 1986, j exp psychol gen, v115, p39, doi 10.1037/0096-3445.115.1.39	nosofsky (1986)
o'doherty j, 2001, nat neurosci, v4, p95	o'doherty (2001)
o'doherty j, 2003, j neurosci, v23, p7931	o'doherty (2003b)
o'doherty j, 2004, science, v304, p452, doi 10.1126/science.1094285	o'doherty (2004a)
o'doherty jp, 2002, neuron, v33, p815, doi 10.1016/s0896-6273(02)00603-7	o'doherty (2002)
o'doherty jp, 2003, neuron, v38, p329, doi 10.1016/s0896-6273(03)00169-7	o'doherty (2003a)
o'doherty jp, 2004, curr opin neurobiol, v14, p769, doi 10.1016/j.conb.2004.10.016	o'doherty (2004b)
o'doherty jp, 2007, ann ny acad sci, v1104, p35, doi 10.1196/annals.1390.022	o'doherty (2007)
o'reilly jx, 2013, p natl acad sci usa, v110, pe3660, doi 10.1073/pnas.1305373110	o'reilly (2013)
o'reilly rc, 2006, neural comput, v18, p283, doi 10.1162/089976606775093909	o'reilly (2006)
oldfield rc, 1971, neuropsychologia, v9, p97, doi 10.1016/0028-3932(71)90067-4	oldfield (1971)
oliveira ftp, 2007, j cognitive neurosci, v19, p1994, doi 10.1162/jocn.2007.19.12.1994	oliveira (2007)
onishi kh, 2005, science, v308, p255, doi 10.1126/science.1107621	onishi (2005)
packard mg, 2002, annu rev neurosci, v25, p563, doi 10.1146/annurev.neuro.25.112701.142937	packard (2002)
padoa-schioppa c, 2006, nature, v441, p223, doi 10.1038/nature04676	padoa-schioppa (2006)
pagnoni g, 2002, nat neurosci, v5, p97, doi 10.1038/nn802	pagnoni (2002)
pavlov i. p., 1927, conditioned reflexes	pavlov (1927)
pearce j.m., 2010, attention ass learni, p11	pearce (2010)
pearce jm, 1980, psychol rev, v87, p532, doi 10.1037/0033-295x.87.6.532	pearce (1980)
pearce jm, 1987, psychol rev, v94, p61, doi 10.1037/0033-295x.94.1.61	pearce (1987)
pearce jm, 1994, psychol rev, v101, p587, doi 10.1037/0033-295x.101.4.587	pearce (1994)
pedreira me, 2004, learn memory, v11, p579, doi 10.1101/lm.76904	pedreira (2004)
peirce jw, 2007, j neurosci meth, v162, p8, doi 10.1016/j.jneumeth.2006.11.017	peirce (2007)
pelli dg, 1997, spatial vision, v10, p437, doi 10.1163/156856897x00366	pelli (1997)
pellicano e, 2012, trends cogn sci, v16, p504, doi 10.1016/j.tics.2012.08.009	pellicano (2012)
pessiglione m, 2006, nature, v442, p1042, doi 10.1038/nature05051	pessiglione (2006)
pfabigan dm, 2011, psychophysiology, v48, p656, doi 10.1111/j.1469-8986.2010.01136.x	pfabigan (2011)
philiastides mg, 2010, neuroimage, v53, p221, doi 10.1016/j.neuroimage.2010.05.052	philiastides (2010)
platt ml, 1999, nature, v400, p233, doi 10.1038/22268	platt (1999)
poldrack ra, 2001, nature, v414, p546, doi 10.1038/35107080	poldrack (2001)
polich j, 2007, clin neurophysiol, v118, p2128, doi 10.1016/j.clinph.2007.04.019	polich (2007)
posner mi, 1980, q j exp psychol, v32, p3, doi 10.1080/00335558008248231	posner (1980)
potts gf, 2006, j cognitive neurosci, v18, p1112, doi 10.1162/jocn.2006.18.7.1112	potts (2006)
preuschoff k, 2006, neuron, v51, p381, doi 10.1016/j.neuron.2006.06.024	preuschoff (2006)
preuschoff k, 2008, j neurosci, v28, p2745, doi 10.1523/jneurosci.4286-07.2008	preuschoff (2008)
preuschoff k, 2011, front neurosci-switz, v5, doi 10.3389/fnins.2011.00115	preuschoff (2011)
proudfit gh, 2015, psychophysiology, v52, p449, doi 10.1111/psyp.12370	proudfit (2015)
proulx t, 2012, trends cogn sci, v16, p285, doi 10.1016/j.tics.2012.04.002	proulx (2012)
radloff l s, 1977, applied psychological measurement, v1, p385, doi 10.1177/014662167700100306	radloff (1977)
rangel a, 2008, nat rev neurosci, v9, p545, doi 10.1038/nrn2357	rangel (2008)
rao rpn, 1999, nat neurosci, v2, p79, doi 10.1038/4580	rao (1999)
rayburn-reeves rm, 2011, learn behav, v39, p125, doi 10.3758/s13420-010-0011-5	rayburn-reeves (2011)
redgrave p, 1999, trends neurosci, v22, p146, doi 10.1016/s0166-2236(98)01373-3	redgrave (1999)
redgrave p, 2006, nat rev neurosci, v7, p967, doi 10.1038/nrn2022	redgrave (2006)
reeves rmr, 2013, j comp psychol, v127, p202, doi 10.1037/a0026311	reeves (2013)
rescorla r. a., 1972, classical condition, p64, doi 10.1101/gr.110528.110	rescorla (1972)
rescorla ra, 1970, learn motiv, v1, p372, doi 10.1016/0023-9690(70)90101-3	rescorla (1970)
rescorla ra, 2000, j exp psychol anim b, v26, p428, doi 10.1037//0097-7403.26.4.428	rescorla (2000)
ridderinkhof kr, 2004, science, v306, p443, doi 10.1126/science.1100301	ridderinkhof (2004)
rief w, 2015, curr opin psychiatr, v28, p378, doi 10.1097/yco.0000000000000184	rief (2015)
rizzolatti g, 2004, annu rev neurosci, v27, p169, doi 10.1146/annurev.neuro.27.070203.144230	rizzolatti (2004)
rodriguez pf, 2006, hum brain mapp, v27, p306, doi 10.1002/hbm.20186	rodriguez (2006)
roesch mr, 2007, nat neurosci, v10, p1615, doi 10.1038/nn2013	roesch (2007)
roesch mr, 2012, eur j neurosci, v35, p1190, doi 10.1111/j.1460-9568.2011.07986.x	roesch (2012)
rolls et, 2008, cereb cortex, v18, p652, doi 10.1093/cercor/bhm097	rolls (2008)
rosenberg m., 1965, soc adolescent self	rosenberg (1965)
ruble dn, 1988, j pers soc psychol, v55, p78, doi 10.1037/0022-3514.55.1.78	ruble (1988)
ruchsow m, 2002, neurosci lett, v325, p203, doi 10.1016/s0304-3940(02)00288-4	ruchsow (2002)
rushworth mfs, 2004, trends cogn sci, v8, p410, doi 10.1016/j.tics.2004.07.009	rushworth (2004)
rushworth mfs, 2008, nat neurosci, v11, p389, doi 10.1038/nn2066	rushworth (2008)
rushworth mfs, 2011, neuron, v70, p1054, doi 10.1016/j.neuron.2011.05.014	rushworth (2011)
rutledge rb, 2009, j neurosci, v29, p15104, doi 10.1523/jneurosci.3524-09.2009	rutledge (2009)
rutledge rb, 2010, j neurosci, v30, p13525, doi 10.1523/jneurosci.1747-10.2010	rutledge (2010)
saffran jr, 1996, science, v274, p1926, doi 10.1126/science.274.5294.1926	saffran (1996)
sambrook td, 2015, psychol bull, v141, p213, doi 10.1037/bul0000006	sambrook (2015)
sambrook td, 2016, neuroimage, v124, p276, doi 10.1016/j.neuroimage.2015.07.032	sambrook (2016)
samejima k, 2005, science, v310, p1337, doi 10.1126/science.1115270	samejima (2005)
sanfey ag, 2003, science, v300, p1755, doi 10.1126/science.1082976	sanfey (2003)
sato a, 2005, neuroreport, v16, p407, doi 10.1097/00001756-200503150-00020	sato (2005)
schiller d, 2010, nature, v463, p49, doi 10.1038/nature08637	schiller (2010)
schmidt ra, 1992, psychol sci, v3, p207, doi 10.1111/j.1467-9280.1992.tb00029.x	schmidt (1992)
schonberg t, 2007, j neurosci, v27, p12860, doi 10.1523/jneurosci.2496-07.2007	schonberg (2007)
schultz w, 1997, curr opin neurobiol, v7, p191, doi 10.1016/s0959-4388(97)80007-4	schultz (1997b)
schultz w, 1997, science, v275, p1593, doi 10.1126/science.275.5306.1593	schultz (1997a)
schultz w, 1998, j neurophysiol, v80, p1, doi 10.1152/jn.1998.80.1.1	schultz (1998)
schultz w, 2000, annu rev neurosci, v23, p473, doi 10.1146/annurev.neuro.23.1.473	schultz (2000a)
schultz w, 2000, nat rev neurosci, v1, p199, doi 10.1038/35044563	schultz (2000b)
schultz w, 2002, neuron, v36, p241, doi 10.1016/s0896-6273(02)00967-4	schultz (2002)
schultz w, 2006, annu rev psychol, v57, p87, doi 10.1146/annurev.psych.56.091103.070229	schultz (2006)
schultz w, 2010, behav brain funct, v6, doi 10.1186/1744-9081-6-24	schultz (2010)
schultz w, 2013, curr opin neurobiol, v23, p229, doi 10.1016/j.conb.2012.11.012	schultz (2013)
schultz w, 2016, nat rev neurosci, v17, p183, doi 10.1038/nrn.2015.26	schultz (2016)
schwarz g, 1978, ann stat, v6, p461, doi 10.1214/aos/1176344136	schwarz (1978)
semlitsch hv, 1986, psychophysiology, v23, p695, doi 10.1111/j.1469-8986.1986.tb00696.x	semlitsch (1986)
seth ak, 2013, trends cogn sci, v17, p565, doi 10.1016/j.tics.2013.09.007	seth (2013)
sevenster d, 2013, science, v339, p830, doi 10.1126/science.1231357	sevenster (2013)
sevenster d, 2014, learn memory, v21, p580, doi 10.1101/lm.035493.114	sevenster (2014)
seymour b, 2004, nature, v429, p664, doi 10.1038/nature02581	seymour (2004)
seymour b, 2007, j neurosci, v27, p4826, doi 10.1523/jneurosci.0400-07.2007	seymour (2007)
shackman aj, 2011, nat rev neurosci, v12, p154, doi 10.1038/nrn2994	shackman (2011)
shadmehr r, 2010, annu rev neurosci, v33, p89, doi 10.1146/annurev-neuro-060909-153135	shadmehr (2010)
shenhav a, 2013, neuron, v79, p217, doi 10.1016/j.neuron.2013.07.007	shenhav (2013)
shohamy d, 2010, trends cogn sci, v14, p464, doi 10.1016/j.tics.2010.08.002	shohamy (2010)
snodgrass jg, 1988, j exp psychol gen, v117, p34, doi 10.1037/0096-3445.117.1.34	snodgrass (1988)
spanier gb, 1976, j marriage fam, v38, p15, doi 10.2307/350547	spanier (1976)
spelke es, 1992, psychol rev, v99, p605, doi 10.1037/0033-295x.99.4.605	spelke (1992)
stahl ae, 2015, science, v348, p91, doi 10.1126/science.aaa3799	stahl (2015)
stangor c, 1992, psychol bull, v111, p42, doi 10.1037/0033-2909.111.1.42	stangor (1992)
steinberg ee, 2013, nat neurosci, v16, p966, doi 10.1038/nn.3413	steinberg (2013)
stephan ke, 2009, neuroimage, v46, p1004, doi 10.1016/j.neuroimage.2009.03.025	stephan (2009)
summerfield c, 2008, nat neurosci, v11, p1004, doi 10.1038/nn.2163	summerfield (2008b)
summerfield c, 2008, neuron, v59, p336, doi 10.1016/j.neuron.2008.05.021	summerfield (2008a)
summerfield c, 2009, trends cogn sci, v13, p403, doi 10.1016/j.tics.2009.06.003	summerfield (2009)
suri re, 1999, neuroscience, v91, p871, doi 10.1016/s0306-4522(98)00697-6	suri (1999)
sutton r. s., 1988, machine learning, v3, p9, doi 10.1007/bf00115009	sutton (1988)
sutton r., 1998, reinforcement learni	sutton (1998)
sutton r.s., 1998, reinforcement learni, v1	sutton (1998)
sutton rs, 1981, psychol rev, v88, p135, doi 10.1037/0033-295x.88.2.135	sutton (1981)
sutton rs, 1990, learning computation, p497	sutton (1990)
suzuki a, 2004, j neurosci, v24, p4787, doi 10.1523/jneurosci.5491-03.2004	suzuki (2004)
talairach j. t., 1988, coplanar stereotaxic	talairach (1988)
talmi d, 2012, neuroimage, v59, p635, doi 10.1016/j.neuroimage.2011.06.051	talmi (2012)
talmi d, 2013, j neurosci, v33, p8264, doi 10.1523/jneurosci.5695-12.2013	talmi (2013)
tanaka sc, 2004, nat neurosci, v7, p887, doi 10.1038/nn1279	tanaka (2004)
thorndike el, 1911, animal intelligence	thorndike (1911)
tobler pn, 2003, j neurosci, v23, p10402	tobler (2003)
tobler pn, 2005, science, v307, p1642, doi 10.1126/science.1105370	tobler (2005)
tobler pn, 2006, j neurophysiol, v95, p301	tobler (2006)
todorovic a, 2011, j neurosci, v31, p9118, doi 10.1523/jneurosci.1425-11.2011	todorovic (2011)
todorovic a, 2012, j neurosci, v32, p13389, doi 10.1523/jneurosci.2227-12.2012	todorovic (2012)
tolman ec, 1948, psychol rev, v55, p189, doi 10.1037/h0061626	tolman (1948)
tom sm, 2007, science, v315, p515, doi 10.1126/science.1134239	tom (2007)
tremblay l, 1999, nature, v398, p704	tremblay (1999)
tricomi em, 2004, neuron, v41, p281, doi 10.1016/s0896-6273(03)00848-1	tricomi (2004)
tseng yw, 2007, j neurophysiol, v98, p54, doi 10.1152/jn.00266.2007	tseng (2007)
turner dc, 2004, cereb cortex, v14, p872, doi 10.1093/cercor/bhh046	turner (2004)
tversky a, 1974, science, v185, p1124, doi 10.1126/science.185.4157.1124	tversky (1974)
tversky a, 1992, j risk uncertainty, v5, p297, doi 10.1007/bf00122574	tversky (1992)
ulanovsky n, 2003, nat neurosci, v6, p391, doi 10.1038/nn1032	ulanovsky (2003)
ullsperger m, 2003, j neurosci, v23, p4308, doi 10.1523/jneurosci.23-10-04308.2003	ullsperger (2003)
ullsperger m, 2014, physiol rev, v94, p35, doi 10.1152/physrev.00041.2012	ullsperger (2014a)
ullsperger m, 2014, trends cogn sci, v18, p259, doi 10.1016/j.tics.2014.02.009	ullsperger (2014b)
umbricht d, 2005, schizophr res, v76, p1, doi 10.1016/j.schres.2004.12.002	umbricht (2005)
van de vijver i, 2011, j cognitive neurosci, v23, p4106, doi 10.1162/jocn_a_00110	van (2011)
van den bos w, 2012, cereb cortex, v22, p1247, doi 10.1093/cercor/bhr198	van (2012)
van schie ht, 2004, nat neurosci, v7, p549, doi 10.1038/nn1239	van (2004)
wacongne c, 2011, p natl acad sci usa, v108, p20754, doi 10.1073/pnas.1117807108	wacongne (2011)
wacongne c, 2012, j neurosci, v32, p3665, doi 10.1523/jneurosci.5003-11.2012	wacongne (2012)
waelti p, 2001, nature, v412, p43, doi 10.1038/35083500	waelti (2001)
wagner a.r., 1981, p5	wagner (1981)
walsh mm, 2011, p natl acad sci usa, v108, p19048, doi 10.1073/pnas.1117189108	walsh (2011)
walsh mm, 2012, neurosci biobehav r, v36, p1870, doi 10.1016/j.neubiorev.2012.05.008	walsh (2012)
waltz ja, 2007, biol psychiat, v62, p756, doi 10.1016/j.biopsych.2006.09.042	waltz (2007)
watkins cjch, 1992, mach learn, v8, p279, doi 10.1007/bf00992698	watkins (1992)
watson d, 1988, j pers soc psychol, v54, p1063, doi 10.1037/0022-3514.54.6.1063	watson (1988)
wills aj, 2007, j cognitive neurosci, v19, p843, doi 10.1162/jocn.2007.19.5.843	wills (2007)
winkler i, 1996, brain res, v742, p239, doi 10.1016/s0006-8993(96)01008-6	winkler (1996)
winkler i, 2007, j psychophysiol, v21, p147, doi 10.1027/0269-8803.21.34.147	winkler (2007)
wise ra, 2004, nat rev neurosci, v5, p483, doi 10.1038/nrn1406	wise (2004)
wittmann bc, 2005, neuron, v45, p459, doi 10.1016/j.neuron.2005.01.010	wittmann (2005)
wolpert dm, 1995, science, v269, p1880, doi 10.1126/science.7569931	wolpert (1995)
wolpert dm, 1998, neural networks, v11, p1317, doi 10.1016/s0893-6080(98)00066-5	wolpert (1998)
wolpert dm, 2001, curr biol, v11, pr729, doi 10.1016/s0960-9822(01)00432-8	wolpert (2001)
wu y, 2009, brain res, v1286, p114, doi 10.1016/j.brainres.2009.06.032	wu (2009)
wynn k, 1992, nature, v358, p749, doi 10.1038/358749a0	wynn (1992)
yacubian j, 2006, j neurosci, v26, p9530, doi 10.1523/jneurosci.2915-06.2006	yacubian (2006)
yasuda a, 2004, neuroreport, v15, p2561, doi 10.1097/00001756-200411150-00027	yasuda (2004)
yeung n, 2004, j neurosci, v24, p6258, doi 10.1523/jneurosci.4537-03.2004	yeung (2004a)
yeung n, 2004, psychol rev, v111, p931, doi [10.1037/0033-295x.111.4.931 10.1037/0033-295x.111.4.931]	yeung (2004b)
yeung n, 2005, cereb cortex, v15, p535, doi 10.1093/cercor/bhh153	yeung (2005)
yin hh, 2004, eur j neurosci, v19, p181, doi 10.1111/j.1460-9568.2004.03095.x	yin (2004)
yu aj, 2005, neuron, v46, p681, doi 10.1016/j.neuron.2005.04.026	yu (2005)
yu rj, 2006, neuroreport, v17, p1747, doi 10.1097/01.wnr.0000239960.98813.50	yu (2006)
zhou zh, 2010, neuropsychologia, v48, p3606, doi 10.1016/j.neuropsychologia.2010.08.010	zhou (2010)
